iters:0, batch:0, loss:0.000852252 
iters:50, batch:0, loss:0.000851312 
iters:100, batch:0, loss:0.000850376 
iters:150, batch:0, loss:0.000849442 
iters:200, batch:0, loss:0.000848509 
iters:250, batch:0, loss:0.000847579 
iters:300, batch:0, loss:0.000846651 
iters:350, batch:0, loss:0.000845727 
iters:400, batch:0, loss:0.000844804 
iters:450, batch:0, loss:0.000843885 
iters:500, batch:0, loss:0.000842967 
iters:550, batch:0, loss:0.000842053 
iters:600, batch:0, loss:0.000841139 
iters:650, batch:0, loss:0.000840228 
iters:700, batch:0, loss:0.000839318 
iters:750, batch:0, loss:0.000838411 
iters:800, batch:0, loss:0.000837505 
iters:850, batch:0, loss:0.000836602 
iters:900, batch:0, loss:0.000835699 
iters:950, batch:0, loss:0.0008348 
iters:1000, batch:0, loss:0.000833904 
iters:1050, batch:0, loss:0.000833009 
iters:1100, batch:0, loss:0.000832116 
iters:1150, batch:0, loss:0.000831226 
iters:1200, batch:0, loss:0.000830338 
iters:1250, batch:0, loss:0.000829451 
iters:1300, batch:0, loss:0.000828567 
iters:1350, batch:0, loss:0.000827684 
iters:1400, batch:0, loss:0.000826804 
iters:1450, batch:0, loss:0.000825926 
iters:1500, batch:0, loss:0.000825051 
iters:1550, batch:0, loss:0.000824176 
iters:1600, batch:0, loss:0.000823303 
iters:1650, batch:0, loss:0.000822432 
iters:1700, batch:0, loss:0.000821563 
iters:1750, batch:0, loss:0.000820696 
iters:1800, batch:0, loss:0.000819831 
iters:1850, batch:0, loss:0.000818968 
iters:1900, batch:0, loss:0.000818107 
iters:1950, batch:0, loss:0.000817248 
iters:2000, batch:0, loss:0.000816391 
iters:2050, batch:0, loss:0.000815536 
iters:2100, batch:0, loss:0.000814682 
iters:2150, batch:0, loss:0.000813831 
iters:2200, batch:0, loss:0.000812981 
iters:2250, batch:0, loss:0.000812133 
iters:2300, batch:0, loss:0.000811288 
iters:2350, batch:0, loss:0.000810445 
iters:2400, batch:0, loss:0.000809602 
iters:2450, batch:0, loss:0.000808763 
iters:2500, batch:0, loss:0.000807927 
